watershed_name,instream,floodplain,spawning
Upper Sacramento River,hsi,hsi,hsi
Antelope Creek,wua,wua,wua
Battle Creek,wua,wua,wua
Bear Creek,wua,wua,wua
Big Chico Creek,wua,wua,wua
Butte Creek,wua,wua,wua
Clear Creek,wua,wua,wua
Cottonwood Creek,wua,wua,wua
Cow Creek,wua,wua,wua
Deer Creek,hsi,hsi,hsi
Elder Creek,wua,wua,wua
Mill Creek,wua,wua,wua
Paynes Creek,wua,wua,wua
Stony Creek,wua,wua,wua
Thomes Creek,wua,wua,wua
Upper-mid Sacramento River,hsi,hsi,hsi
Sutter Bypass,wua,wua,wua
Bear River,wua,wua,wua
Feather River,wua,wua,wua
Yuba River,wua,wua,wua
Lower-mid Sacramento River,hsi,hsi,hsi
Yolo Bypass,wua,wua,wua
American River,wua,wua,wua
Lower Sacramento River,hsi,hsi,hsi
Calaveras River,wua,wua,wua
Cosumnes River,wua,wua,wua
Mokelumne River,wua,wua,wua
Merced River,wua,wua,wua
Stanislaus River,wua,wua,wua
Tuolumne River,wua,wua,wua
San Joaquin River,wua,wua,wua
Upper Mid Sac Region,wua,wua,wua
